"intro_id"	"x"	"y"	"success"	"realm"	"island"	"fam"	"sp"	"Native_range_area"	"Introduction_date"	"Introduction_effort"	"Weaning_age"	"Litter_size"	"Litters_per_year"	"CV_adult_body_mass"	"CV_neonate_body_mass"
3582	167.9166848	-45.58333258	0	"AA"	1	"Herpestidae"	"Herpestes_edwardsii"	12198	1870	NA	NA	NA	NA	NA	NA
10117	174.2500185	-41.08333235	0	"AA"	1	"Leporidae"	"Lepus_europaeus"	46507	1777	4	24.42857143	5.48452381	5.262382445	0.30960824	0.144433399
316	169.3333516	-45.74999926	0	"AA"	1	"Macropodidae"	"Macropus_giganteus"	7571	1863	3	459.409	1.002857143	1.031550829	0.481656521	0.102166804
332	170.916685	-44.7499992	1	"AA"	1	"Macropodidae"	"Macropus_rufogriseus"	2378	1874	3	371.8928571	1.028333333	1.157333589	0.14614983	0.177497602
333	169.1666849	-44.58333253	1	"AA"	1	"Macropodidae"	"Macropus_rufogriseus"	2378	1948	NA	371.8928571	1.028333333	1.157333589	0.14614983	0.177497602
3156	172.8333517	-40.99999901	0	"AA"	1	"Mustelidae"	"Mustela_erminea"	219136	1977	NA	41.7	6.803461538	1.00462963	0.513006982	0.320987654
3153	173.7500184	-41.08333235	0	"AA"	1	"Mustelidae"	"Mustela_erminea"	219136	1980	NA	41.7	6.803461538	1.00462963	0.513006982	0.320987654
3197	171.916685	-43.66666582	1	"AA"	1	"Mustelidae"	"Mustela_putorius"	28933	1960	40	57.25	8.478777778	1.517290249	0.20951341	0.136411961
3196	173.4166851	-41.24999902	1	"AA"	1	"Mustelidae"	"Mustela_putorius"	28933	1960	NA	57.25	8.478777778	1.517290249	0.20951341	0.136411961
5011	168.5833515	-45.08333256	0	"AA"	1	"Cervidae"	"Odocoileus_hemionus"	26679	1905	9	70.68333333	1.658863636	1	0.300803533	0.099378879
5248	168.4166848	-45.08333256	1	"AA"	1	"Cervidae"	"Odocoileus_virginianus"	54597	1905	9	92.38888889	1.698035714	1.072222222	0.370871274	0.180618808
6229	170.1666849	-43.58333248	0	"AA"	1	"Bovidae"	"Pseudois_nayaur"	10065	1945	NA	NA	NA	NA	NA	NA
10147	170.1666849	-43.66666582	1	"AA"	1	"Bovidae"	"Rupicapra_rupicapra"	1781	1907	8	55	1.071428571	1	0.219566873	0.190496097
1702	170.4166849	-45.74999926	0	"AA"	1	"Sciuridae"	"Spermophilus_beecheyi"	1831	1906	NA	NA	NA	NA	NA	NA
128	173.9166851	-41.24999902	1	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	1980	NA	169.75	1.026666667	1.371269876	0.180467243	0.462835066
144	173.7500184	-41.08333235	1	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	1890	NA	169.75	1.026666667	1.371269876	0.180467243	0.462835066
127	168.0833515	-46.24999928	1	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	1858	NA	169.75	1.026666667	1.371269876	0.180467243	0.462835066
143	168.5000181	-46.58333263	1	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	1915	NA	169.75	1.026666667	1.371269876	0.180467243	0.462835066
139	168.4166848	-44.91666588	1	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	1975	NA	169.75	1.026666667	1.371269876	0.180467243	0.462835066
2886	172.5833517	-43.58333248	1	"AA"	1	"Canidae"	"Vulpes_vulpes"	298642	1936	NA	40.80952381	4.769090909	1.002314815	0.198994053	0.130170369
110	144.9166836	-40.41666565	0	"AA"	1	"Phascolarctidae"	"Phascolarctos_cinereus"	3869	1973	NA	288.1	1	0.935288795	0.327548832	0.680671338
10105	147.9166838	-39.83333228	1	"AA"	1	"Leporidae"	"Lepus_europaeus"	46507	1832	12	24.42857143	5.48452381	5.262382445	0.30960824	0.144433399
120	147.9166838	-39.74999894	1	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	1920	NA	169.75	1.026666667	1.371269876	0.180467243	0.462835066
90	146.5833504	-38.74999889	1	"AA"	1	"Phascolarctidae"	"Phascolarctos_cinereus"	3869	1971	NA	288.1	1	0.935288795	0.327548832	0.680671338
5204	146.5833504	-38.74999889	1	"AA"	1	"Cervidae"	"Rusa_unicolor"	23987	1868	NA	211.513	1.007777778	1.024043917	0.233117677	0.290602297
276	175.4166852	-36.24999876	0	"AA"	1	"Macropodidae"	"Petrogale_penicillata"	413	1981	NA	NA	NA	NA	NA	NA
117	137.2500165	-35.74999874	0	"AA"	1	"Vombatidae"	"Lasiorhinus_latifrons"	316	1970	NA	NA	NA	NA	NA	NA
326	137.2500165	-35.74999874	0	"AA"	1	"Macropodidae"	"Macropus_robustus"	20703	1937	2	322.1428571	1	1.413243186	0.316248462	0.001510374
6	136.9166832	-35.91666541	1	"AA"	1	"Ornithorhynchidae"	"Ornithorhynchus_anatinus"	3198	1946	NA	120	2.071428571	1	0.135947016	NA
4	136.7500165	-35.91666541	1	"AA"	1	"Ornithorhynchidae"	"Ornithorhynchus_anatinus"	3198	1928	3	120	2.071428571	1	0.135947016	NA
5	136.5833498	-35.91666541	1	"AA"	1	"Ornithorhynchidae"	"Ornithorhynchus_anatinus"	3198	1941	16	120	2.071428571	1	0.135947016	NA
86	137.2500165	-35.74999874	1	"AA"	1	"Phascolarctidae"	"Phascolarctos_cinereus"	3869	1923	24	288.1	1	0.935288795	0.327548832	0.680671338
183	137.2500165	-35.74999874	1	"AA"	1	"Pseudocheiridae"	"Pseudocheirus_occidentalis"	78	1926	15	174.2173913	1.707857143	1.491667201	0.113579557	0
4047	137.2500165	-35.74999874	1	"AA"	1	"Suidae"	"Sus_scrofa"	108966	1870	NA	67.9	4.950588235	1.528985507	0.4050536	0.385334276
4463	175.0000185	-40.99999901	0	"AA"	1	"Cervidae"	"Axis_axis"	7503	1893	7	120.936	1.129	0.869047619	0.212895826	0.171849068
406	175.1666852	-40.91666567	1	"AA"	1	"Erinaceidae"	"Erinaceus_europaeus"	18676	1930	NA	33.17692308	4.4	1.428571429	0.320689105	0.194093498
405	175.6666853	-39.49999893	1	"AA"	1	"Erinaceidae"	"Erinaceus_europaeus"	18676	1940	NA	33.17692308	4.4	1.428571429	0.320689105	0.194093498
400	174.0833518	-39.24999892	1	"AA"	1	"Erinaceidae"	"Erinaceus_europaeus"	18676	1910	NA	33.17692308	4.4	1.428571429	0.320689105	0.194093498
287	174.5833518	-36.41666544	0	"AA"	1	"Macropodidae"	"Macropus_dorsalis"	1933	1870	NA	NA	NA	NA	NA	NA
324	174.5833518	-36.41666544	1	"AA"	1	"Macropodidae"	"Macropus_parma"	209	1870	NA	215.48	1	1.506807512	0.12629525	0.004171721
329	174.5833518	-36.41666544	0	"AA"	1	"Macropodidae"	"Macropus_robustus"	20703	1860	NA	322.1428571	1	1.413243186	0.316248462	0.001510374
3155	174.6666852	-36.74999879	0	"AA"	1	"Mustelidae"	"Mustela_erminea"	219136	NA	NA	41.7	6.803461538	1.00462963	0.513006982	0.320987654
10038	175.2500185	-40.41666565	1	"AA"	1	"Cervidae"	"Odocoileus_hemionus"	26679	1875	8	70.68333333	1.658863636	1	0.300803533	0.099378879
5009	175.0833519	-37.24999881	0	"AA"	1	"Cervidae"	"Odocoileus_hemionus"	26679	1877	NA	70.68333333	1.658863636	1	0.300803533	0.099378879
10039	176.2500186	-38.08333219	1	"AA"	1	"Cervidae"	"Odocoileus_hemionus"	26679	1907	8	70.68333333	1.658863636	1	0.300803533	0.099378879
273	174.6666852	-36.83333212	1	"AA"	1	"Macropodidae"	"Petrogale_penicillata"	413	NA	NA	NA	NA	NA	NA	NA
3129	176.2500186	-38.08333219	0	"AA"	1	"Procyonidae"	"Procyon_lotor"	45079	1905	2	79.44444444	3.354193548	1.00462963	0.337408072	0.157019495
10182	176.7500186	-38.41666554	1	"AA"	1	"Cervidae"	"Rusa_timorensis"	61	1907	14	225	1	0.99726776	0.452722167	0.275908139
5221	176.2500186	-38.08333219	1	"AA"	1	"Cervidae"	"Rusa_unicolor"	23987	1915	7	211.513	1.007777778	1.024043917	0.233117677	0.290602297
5220	175.2500185	-40.24999897	1	"AA"	1	"Cervidae"	"Rusa_unicolor"	23987	1875	2	211.513	1.007777778	1.024043917	0.233117677	0.290602297
10165	173.5000185	-35.08333203	1	"AA"	1	"Suidae"	"Sus_scrofa"	108966	1769	2	67.9	4.950588235	1.528985507	0.4050536	0.385334276
135	175.0000185	-40.99999901	0	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	1893	10	169.75	1.026666667	1.371269876	0.180467243	0.462835066
137	174.7500185	-36.91666546	1	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	1868	NA	169.75	1.026666667	1.371269876	0.180467243	0.462835066
141	175.5833519	-36.83333212	1	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	1920	NA	169.75	1.026666667	1.371269876	0.180467243	0.462835066
138	176.0833519	-37.74999884	1	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	NA	NA	169.75	1.026666667	1.371269876	0.180467243	0.462835066
10170	176.2500186	-38.08333219	1	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	1905	20	169.75	1.026666667	1.371269876	0.180467243	0.462835066
136	174.5833518	-36.41666544	1	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	1869	NA	169.75	1.026666667	1.371269876	0.180467243	0.462835066
134	174.0000185	-35.24999871	1	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	1990	NA	169.75	1.026666667	1.371269876	0.180467243	0.462835066
146	175.4166852	-36.58333211	1	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	NA	NA	169.75	1.026666667	1.371269876	0.180467243	0.462835066
10169	174.9166852	-41.24999902	1	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	1894	10	169.75	1.026666667	1.371269876	0.180467243	0.462835066
348	174.5833518	-36.41666544	1	"AA"	1	"Macropodidae"	"Wallabia_bicolor"	4188	1870	NA	NA	NA	NA	NA	NA
445	55.58334562	-21.0833313	0	"AT"	1	"Soricidae"	"Suncus_murinus"	26595	NA	NA	NA	NA	NA	NA	NA
422	55.58334562	-21.0833313	1	"AT"	1	"Tenrecidae"	"Tenrec_ecaudatus"	1835	1882	NA	NA	NA	NA	NA	NA
10009	165.4166847	-21.41666465	0	"AA"	1	"Cervidae"	"Axis_axis"	7503	1862	2	120.936	1.129	0.869047619	0.212895826	0.171849068
10188	165.4166847	-21.41666465	1	"AA"	1	"Cervidae"	"Rusa_timorensis"	61	1870	NA	225	1	0.99726776	0.452722167	0.275908139
10164	166.500018	-22.24999803	1	"AA"	1	"Suidae"	"Sus_scrofa"	108966	1774	2	67.9	4.950588235	1.528985507	0.4050536	0.385334276
327	148.9166838	-20.08333125	0	"AA"	1	"Macropodidae"	"Macropus_robustus"	20703	NA	NA	322.1428571	1	1.413243186	0.316248462	0.001510374
3581	57.58334572	-20.24999793	1	"AT"	1	"Herpestidae"	"Herpestes_edwardsii"	12198	1899	NA	NA	NA	NA	NA	NA
3555	57.58334572	-20.24999793	1	"AT"	1	"Herpestidae"	"Herpestes_javanicus"	22220	NA	NA	45.5	2.28125	2.178240741	0.256730709	0.174880197
1598	57.58334572	-20.16666459	1	"AT"	1	"Leporidae"	"Lepus_nigricollis"	10761	NA	NA	NA	NA	NA	NA	NA
1597	57.7500124	-20.24999793	1	"AT"	1	"Leporidae"	"Lepus_nigricollis"	10761	1810	NA	NA	NA	NA	NA	NA
568	57.58334572	-20.24999793	1	"AT"	1	"Cercopithecidae"	"Macaca_fascicularis"	8138	1530	NA	NA	NA	NA	NA	NA
421	57.58334572	-20.24999793	1	"AT"	1	"Tenrecidae"	"Tenrec_ecaudatus"	1835	NA	NA	NA	NA	NA	NA	NA
4775	146.250017	-18.24999782	0	"AA"	1	"Cervidae"	"Cervus_elaphus"	66360	1915	NA	91.45454545	1.055294118	0.92875	0.482339166	0.406412091
3560	178.0000186	-17.91666447	1	"OC"	1	"Herpestidae"	"Herpestes_javanicus"	22220	1883	NA	45.5	2.28125	2.178240741	0.256730709	0.174880197
3561	179.2500187	-16.58333107	1	"OC"	1	"Herpestidae"	"Herpestes_javanicus"	22220	1883	NA	45.5	2.28125	2.178240741	0.256730709	0.174880197
4224	178.6666853	-16.83333108	1	"OC"	1	"Suidae"	"Sus_scrofa"	108966	1779	NA	67.9	4.950588235	1.528985507	0.4050536	0.385334276
10034	136.7500165	-13.91666426	1	"AA"	1	"Cervidae"	"Rusa_timorensis"	61	1952	4	225	1	0.99726776	0.452722167	0.275908139
526	45.08334507	-12.74999754	1	"AT"	1	"Lemuridae"	"Eulemur_fulvus"	221	NA	NA	NA	NA	NA	NA	NA
4307	45.08334507	-12.74999754	1	"AT"	1	"Suidae"	"Potamochoerus_porcus"	14968	NA	NA	NA	NA	NA	NA	NA
420	45.08334507	-12.74999754	1	"AT"	1	"Tenrecidae"	"Tenrec_ecaudatus"	1835	NA	NA	NA	NA	NA	NA	NA
528	44.41667837	-12.24999751	1	"AT"	1	"Lemuridae"	"Eulemur_mongoz"	38	NA	NA	NA	NA	NA	NA	NA
5155	44.41667837	-12.24999751	1	"AT"	1	"Cervidae"	"Rusa_timorensis"	61	1870	NA	225	1	0.99726776	0.452722167	0.275908139
533	49.75001198	-15.41666434	1	"AT"	1	"Daubentoniidae"	"Daubentonia_madagascariensis"	510	1967	9	258.3333333	1	0.457083333	0.082302223	0.255580764
522	49.08334528	-12.41666419	1	"AT"	1	"Lemuridae"	"Eulemur_coronatus"	27	NA	NA	NA	NA	NA	NA	NA
523	49.75001198	-15.41666434	1	"AT"	1	"Lemuridae"	"Eulemur_fulvus"	221	1930	NA	NA	NA	NA	NA	NA
524	46.2500118	-24.99999818	1	"AT"	1	"Lemuridae"	"Eulemur_fulvus"	221	NA	NA	NA	NA	NA	NA	NA
530	49.75001198	-15.41666434	1	"AT"	1	"Lemuridae"	"Varecia_variegata"	74	1930	NA	NA	NA	NA	NA	NA
529	43.33334498	-11.74999748	1	"AT"	1	"Lemuridae"	"Eulemur_mongoz"	38	NA	NA	NA	NA	NA	NA	NA
443	43.41667832	-11.74999748	0	"AT"	1	"Soricidae"	"Suncus_murinus"	26595	NA	NA	NA	NA	NA	NA	NA
3502	43.41667832	-11.74999748	1	"AT"	1	"Viverridae"	"Viverricula_indica"	27537	NA	NA	NA	NA	NA	NA	NA
4417	146.250017	-20.08333125	1	"AA"	0	"Cervidae"	"Axis_axis"	7503	1886	NA	120.936	1.129	0.869047619	0.212895826	0.171849068
4422	142.3333502	-36.66666545	1	"AA"	0	"Cervidae"	"Axis_axis"	7503	1864	NA	120.936	1.129	0.869047619	0.212895826	0.171849068
4418	145.0833503	-37.08333214	1	"AA"	0	"Cervidae"	"Axis_axis"	7503	1862	NA	120.936	1.129	0.869047619	0.212895826	0.171849068
199	145.9166837	-38.58333222	1	"AA"	0	"Potoroidae"	"Bettongia_penicillata"	35	1980	NA	NA	NA	NA	NA	NA
2769	144.9166836	-37.74999884	0	"AA"	0	"Canidae"	"Canis_aureus"	87568	1856	NA	NA	NA	NA	NA	NA
4770	152.416684	-28.08333167	1	"AA"	0	"Cervidae"	"Cervus_elaphus"	66360	1903	NA	91.45454545	1.055294118	0.92875	0.482339166	0.406412091
4764	145.5833503	-37.91666551	0	"AA"	0	"Cervidae"	"Cervus_elaphus"	66360	1890	NA	91.45454545	1.055294118	0.92875	0.482339166	0.406412091
4788	140.7500167	-37.41666549	0	"AA"	0	"Cervidae"	"Cervus_elaphus"	66360	1880	NA	91.45454545	1.055294118	0.92875	0.482339166	0.406412091
4767	152.416684	-27.08333162	1	"AA"	0	"Cervidae"	"Cervus_elaphus"	66360	1873	9	91.45454545	1.055294118	0.92875	0.482339166	0.406412091
4766	143.7500169	-37.91666551	1	"AA"	0	"Cervidae"	"Cervus_elaphus"	66360	NA	NA	91.45454545	1.055294118	0.92875	0.482339166	0.406412091
4771	152.0833507	-28.24999834	1	"AA"	0	"Cervidae"	"Cervus_elaphus"	66360	1903	7	91.45454545	1.055294118	0.92875	0.482339166	0.406412091
1848	151.2500173	-33.91666531	0	"AA"	0	"Sciuridae"	"Funambulus_pennantii"	9512	NA	NA	NA	NA	NA	NA	NA
1849	115.9166821	-31.9166652	1	"AA"	0	"Sciuridae"	"Funambulus_pennantii"	9512	1898	NA	NA	NA	NA	NA	NA
3578	143.0833502	-35.08333203	0	"AA"	0	"Herpestidae"	"Herpestes_edwardsii"	12198	NA	NA	NA	NA	NA	NA	NA
3526	143.0833502	-35.08333203	0	"AA"	0	"Herpestidae"	"Herpestes_javanicus"	22220	1880	100	45.5	2.28125	2.178240741	0.256730709	0.174880197
61	125.500016	-24.8333315	1	"AA"	0	"Peramelidae"	"Isoodon_auratus"	80	1992	NA	NA	NA	NA	NA	NA
112	135.5833498	-34.58333201	0	"AA"	0	"Vombatidae"	"Lasiorhinus_latifrons"	316	1971	NA	NA	NA	NA	NA	NA
2263	136.0000165	-34.41666533	1	"AA"	0	"Muridae"	"Leporillus_conditor"	7	1990	NA	NA	NA	NA	NA	NA
10103	143.9166836	-38.24999887	1	"AA"	0	"Leporidae"	"Lepus_europaeus"	46507	1859	24	24.42857143	5.48452381	5.262382445	0.30960824	0.144433399
1487	115.9166821	-31.74999853	0	"AA"	0	"Leporidae"	"Lepus_europaeus"	46507	1900	NA	24.42857143	2.329090909	4.183333333	0.146622542	0.04439411
10106	114.5833487	-28.58333169	1	"AA"	0	"Leporidae"	"Lepus_europaeus"	46507	1971	4	24.42857143	5.48452381	5.262382445	0.30960824	0.144433399
281	148.8333505	-20.33333127	0	"AA"	0	"Macropodidae"	"Macropus_agilis"	4198	NA	NA	NA	NA	NA	NA	NA
306	115.9166821	-31.9166652	1	"AA"	0	"Macropodidae"	"Macropus_fuliginosus"	5717	1998	NA	NA	NA	NA	NA	NA
309	122.8333492	-33.74999863	0	"AA"	0	"Macropodidae"	"Macropus_fuliginosus"	5717	NA	NA	NA	NA	NA	NA	NA
305	115.0833487	-30.24999845	0	"AA"	0	"Macropodidae"	"Macropus_fuliginosus"	5717	1985	NA	NA	NA	NA	NA	NA
304	122.0833491	-33.74999863	1	"AA"	0	"Macropodidae"	"Macropus_fuliginosus"	5717	1948	NA	NA	NA	NA	NA	NA
312	148.7500171	-20.4166646	0	"AA"	0	"Macropodidae"	"Macropus_giganteus"	7571	NA	NA	459.409	1.002857143	1.031550829	0.481656521	0.102166804
320	151.416684	-32.91666525	0	"AA"	0	"Macropodidae"	"Macropus_parma"	209	1972	36	215.48	1	1.506807512	0.12629525	0.004171721
48	118.0000156	-34.41666533	1	"AA"	0	"Myrmecobiidae"	"Myrmecobius_fasciatus"	27	1998	NA	NA	NA	NA	NA	NA
242	151.416684	-32.91666525	0	"AA"	0	"Macropodidae"	"Onychogalea_unguifera"	3038	1930	NA	NA	NA	NA	NA	NA
30	115.0833487	-30.33333178	1	"AA"	0	"Dasyuridae"	"Parantechinus_apicalis"	23	1998	NA	NA	NA	NA	NA	NA
177	143.9166836	-35.58333206	1	"AA"	0	"Petauridae"	"Petaurus_breviceps"	8727	1971	NA	NA	NA	NA	NA	NA
105	138.7500166	-35.24999871	1	"AA"	0	"Phascolarctidae"	"Phascolarctos_cinereus"	3869	1965	NA	288.1	1	0.935288795	0.327548832	0.680671338
96	145.4166836	-38.08333219	1	"AA"	0	"Phascolarctidae"	"Phascolarctos_cinereus"	3869	1930	165	288.1	1	0.935288795	0.327548832	0.680671338
81	145.0833503	-38.24999887	1	"AA"	0	"Phascolarctidae"	"Phascolarctos_cinereus"	3869	1930	NA	288.1	1	0.935288795	0.327548832	0.680671338
98	148.9166838	-20.91666463	1	"AA"	0	"Phascolarctidae"	"Phascolarctos_cinereus"	3869	NA	NA	288.1	1	0.935288795	0.327548832	0.680671338
